,NOMBRE
283,Sardón de los Frailes
284,Saucelle
285,Sepulcro-Hilario
286,Sequeros
287,Serradilla del Arroyo
288,Serradilla del Llano
289,"Sierpe, La"
290,Sieteiglesias de Tormes
291,Sobradillo
292,Sorihuela
293,Sotoserrano
294,Tabera de Abajo
295,"Tala, La"
296,Tamames
297,Tarazona de Guareña
298,Tardáguila
299,"Tejado, El"
300,Tejeda y Segoyuela
301,Tenebrón
302,Terradillos
303,Topas
304,Tordillos
305,"Tornadizo, El"
306,Torresmenudas
307,Trabanca
308,Tremedal de Tormes
309,Valdecarros
310,Valdefuentes de Sangusín
311,Valdehijaderos
312,Valdelacasa
313,Valdelageve
314,Valdelosa
315,Valdemierque
316,Valderrodrigo
317,Valdunciel
318,Valero
319,Vallejera de Riofrío
320,Valsalabroso
321,Valverde de Valdelacasa
322,Valverdón
323,Vecinos
324,Vega de Tirados
325,"Veguillas, Las"
326,"Vellés, La"
327,Ventosa del Río Almar
328,"Vídola, La"
329,Villaflores
330,Villagonzalo de Tormes
331,Villalba de los Llanos
332,Villamayor
333,Villanueva del Conde
334,Villar de Argañán
335,Villar de Ciervo
336,Villar de Gallimazo
337,Villar de la Yegua
338,Villar de Peralonso
339,Villar de Samaniego
340,Villares de la Reina
341,Villares de Yeltes
342,Villarino de los Aires
343,Villarmayor
344,Villarmuerto
345,Villasbuenas
346,Villasdardo
347,Villaseco de los Gamitos
348,Villaseco de los Reyes
349,Villasrubias
350,Villaverde de Guareña
351,Villavieja de Yeltes
352,Villoria
353,Villoruela
354,Vilvestre
355,Vitigudino
356,Yecla de Yeltes
357,Zamarra
358,Zamayón
359,Zarapicos
360,"Zarza de Pumareda, La"
361,Zorita de la Frontera
